date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.4,2.77,0.65,0.5,0.88,0.414,317
2019-12-10T00:00:00.000Z,0.4,7.85,1.84,1.52,2.2,0.733,407
2019-12-11T00:00:00.000Z,1.05,6.62,2.5,1.78,3.29,1.129,420
2019-12-12T00:00:00.000Z,0.6,13.64,1.72,1.05,3.74,2.534,479
2019-12-13T00:00:00.000Z,0.4,6.62,1.3,0.95,2.46,1.134,561
2019-12-14T00:00:00.000Z,0.5,6,0.92,0.75,1.15,0.559,398
2019-12-15T00:00:00.000Z,0.75,13.85,1.55,1.05,2.13,1.21,572
2019-12-16T00:00:00.000Z,0.95,5.29,1.84,1.45,2.68,0.947,286
2019-12-17T00:00:00.000Z,1.57,15.42,6.96,4.34,8.67,2.825,251
2019-12-18T00:00:00.000Z,1.55,10.8,5.38,3.68,6.46,1.859,464
2019-12-19T00:00:00.000Z,3.62,21.25,11.69,7.06,15.8,4.664,550
2019-12-20T00:00:00.000Z,0.42,13.4,5.18,1.08,6.9,2.858,574
2019-12-21T00:00:00.000Z,0.4,12.3,1.6,0.94,3.12,2.179,555
2019-12-22T00:00:00.000Z,0.4,6.13,1.08,0.75,2,0.971,565
2019-12-23T00:00:00.000Z,0.4,3.62,0.65,0.5,0.93,0.444,566
2019-12-24T00:00:00.000Z,0.68,7.7,1.25,0.98,1.72,0.888,545
2019-12-25T00:00:00.000Z,0.65,10.58,1.43,1.14,1.97,1.219,579
2019-12-26T00:00:00.000Z,1.96,17.63,6.28,4.55,8.43,3.18,581
2019-12-27T00:00:00.000Z,0.48,16.8,2.58,1.18,6.45,4.309,530
2019-12-28T00:00:00.000Z,6.28,22.34,10.68,9.25,12.5,2.519,581
2019-12-29T00:00:00.000Z,12.05,21.2,15.64,14.41,16.94,1.904,585
2019-12-30T00:00:00.000Z,16.47,28.58,20.3,19.19,21.6,2.054,579
2019-12-31T00:00:00.000Z,11.7,69.77,17.16,15.29,19.78,7.348,556
2020-01-01T00:00:00.000Z,10.78,49.97,15.46,14.01,17.73,3.924,565
2020-01-02T00:00:00.000Z,9,25.85,13.33,12.08,14.95,1.995,566
2020-01-03T00:00:00.000Z,6.97,21.44,15.52,14.1,16.5,2.599,547
2020-01-04T00:00:00.000Z,1.44,10.6,3.97,2.84,7.34,2.525,556
2020-01-05T00:00:00.000Z,2.12,12.74,4.76,3.66,5.93,1.551,556
2020-01-06T00:00:00.000Z,6.42,24.75,14.08,10,18.64,4.668,522
2020-01-07T00:00:00.000Z,5.43,21.88,12.62,10.67,14.59,3.597,513
2020-01-08T00:00:00.000Z,7.05,22.06,11.23,9.48,14.18,3.082,492
2020-01-09T00:00:00.000Z,2.4,13.88,4.84,3.97,6,1.782,518
2020-01-10T00:00:00.000Z,1.5,5.68,3.15,2.39,3.8,0.85,417
2020-01-11T00:00:00.000Z,1.98,11.15,6.03,4.23,7.78,1.995,513
2020-01-12T00:00:00.000Z,5.3,19.85,11.23,8.94,13.09,2.837,545
2020-01-13T00:00:00.000Z,2.6,19.69,10.67,7.14,13.66,4.083,475
2020-01-14T00:00:00.000Z,1.48,10.03,3.45,2.72,5.07,1.503,434
2020-01-15T00:00:00.000Z,1.84,6.3,3.06,2.66,3.49,0.753,457
2020-01-16T00:00:00.000Z,1.28,15.25,2.65,2.17,3.64,1.691,469
2020-01-17T00:00:00.000Z,1.5,10.96,3.86,3.03,4.75,1.753,471
2020-01-18T00:00:00.000Z,0.56,48.9,1.55,1.04,3.18,3.451,491
2020-01-19T00:00:00.000Z,1.86,10.11,3.75,2.92,5.05,1.659,462
2020-01-20T00:00:00.000Z,2.78,14,8.24,4.92,10.11,2.818,362
2020-01-21T00:00:00.000Z,11.75,28.17,19.5,15.6,21.3,3.481,453
2020-01-22T00:00:00.000Z,21.3,23.88,22.46,22.08,23.09,0.753,13
2020-01-23T00:00:00.000Z,15.22,33.33,23.95,16.93,29.92,6.405,69
2020-01-24T00:00:00.000Z,14.85,34.47,20.8,18.67,23.61,3.293,269
2020-01-25T00:00:00.000Z,12.9,30.98,22.22,17.95,25.11,4.106,297
2020-01-26T00:00:00.000Z,11.8,35.34,20.45,18.7,23.1,4.219,304
2020-01-27T00:00:00.000Z,3.24,20.57,12.36,8.94,14.02,3.371,251
2020-01-28T00:00:00.000Z,0.35,7.45,1.17,0.65,5.05,2.239,276
2020-01-29T00:00:00.000Z,0.35,2.38,0.65,0.45,0.83,0.311,311
2020-01-30T00:00:00.000Z,0.5,6.04,1.04,0.67,2.06,1.256,289
2020-01-31T00:00:00.000Z,1.35,7.95,4.4,2.54,5.44,1.644,288
2020-02-01T00:00:00.000Z,0.5,9.93,1.78,1.06,2.57,1.01,322
2020-02-02T00:00:00.000Z,0.45,2.25,0.74,0.64,0.86,0.259,334
2020-02-03T00:00:00.000Z,0.9,5.09,2.16,1.72,2.77,0.973,314
2020-02-04T00:00:00.000Z,0.35,5.14,0.9,0.66,2.16,1.131,254
2020-02-05T00:00:00.000Z,0.5,5.08,2.18,1.39,3.1,1.035,238
2020-02-06T00:00:00.000Z,1.7,9.14,3.06,2.6,3.66,0.987,234
2020-02-07T00:00:00.000Z,4.25,32.99,6.58,5.63,7.58,3.425,216
2020-02-08T00:00:00.000Z,2.83,9.43,4.51,3.78,5.38,1.192,194
2020-02-09T00:00:00.000Z,1.5,6.03,2.42,2,3.16,0.837,364
2020-02-10T00:00:00.000Z,0.4,5.36,1.3,0.62,2.24,0.909,377
2020-02-11T00:00:00.000Z,0.4,4.75,1.2,0.86,1.8,0.653,366
2020-02-12T00:00:00.000Z,0.6,3.82,1.12,0.95,1.34,0.38,379
2020-02-13T00:00:00.000Z,0.4,5.03,1.3,0.98,1.8,0.632,365
2020-02-14T00:00:00.000Z,0.4,3.72,0.82,0.56,1.13,0.521,383
2020-02-15T00:00:00.000Z,1.68,8.27,3.33,2.41,4.38,1.359,324
2020-02-16T00:00:00.000Z,1.08,6.46,2.04,1.8,2.56,0.687,375
2020-02-17T00:00:00.000Z,0.4,4.96,1.82,0.91,2.45,0.928,348
2020-02-18T00:00:00.000Z,0.4,3.02,0.92,0.72,1.12,0.39,306
2020-02-19T00:00:00.000Z,0.4,2.62,0.8,0.64,0.97,0.285,442
2020-02-20T00:00:00.000Z,0.57,5.64,1.2,0.95,1.47,0.641,490
2020-02-21T00:00:00.000Z,0.5,8.94,1.38,1.13,1.94,1.422,433
2020-02-22T00:00:00.000Z,1.9,6.56,3.44,2.99,4.08,0.784,454
2020-02-23T00:00:00.000Z,0.55,28.8,1.67,0.86,2.48,2.003,444
2020-02-24T00:00:00.000Z,0.55,9.66,1.35,1.14,1.56,0.633,524
2020-02-25T00:00:00.000Z,0.43,6.75,1.44,1.2,1.84,0.762,466
2020-02-26T00:00:00.000Z,0.4,2.15,0.65,0.54,0.82,0.261,406
2020-02-27T00:00:00.000Z,0.42,9.75,1.15,0.78,2.22,2.114,550
2020-02-28T00:00:00.000Z,0.6,3.64,1.25,1.05,1.8,0.55,558
2020-02-29T00:00:00.000Z,0.53,4.43,2.29,1.86,2.65,0.643,570
2020-03-01T00:00:00.000Z,0.4,2.98,0.97,0.53,1.34,0.517,571
2020-03-02T00:00:00.000Z,0.33,5.83,1.35,0.5,2,0.925,488
2020-03-03T00:00:00.000Z,0.35,12.87,1,0.72,1.38,1.229,422
2020-03-04T00:00:00.000Z,0.6,5.75,1.98,1.34,2.54,0.842,574
2020-03-05T00:00:00.000Z,0.48,13.34,1.94,1.35,4.83,3.232,572
2020-03-06T00:00:00.000Z,0.35,4.55,0.85,0.46,1.4,0.686,568
2020-03-07T00:00:00.000Z,1.4,10.26,3.4,2.45,4.48,1.311,576
2020-03-08T00:00:00.000Z,1.35,4.96,2.86,2.25,3.51,0.759,577
2020-03-09T00:00:00.000Z,0.42,3.6,0.85,0.67,1.26,0.741,571
2020-03-10T00:00:00.000Z,0.5,10.16,1.02,0.74,3.15,2.414,577
2020-03-11T00:00:00.000Z,0.84,11.27,1.8,1.23,7.04,3.21,575
2020-03-12T00:00:00.000Z,0.67,8.6,1.47,1.1,1.92,0.914,517
2020-03-13T00:00:00.000Z,0.83,6.88,1.72,1.36,2.11,0.766,525
2020-03-14T00:00:00.000Z,2.13,11.36,5.07,4.13,6.16,1.417,536
2020-03-15T00:00:00.000Z,1.63,6.2,3.4,2.74,4.51,1.004,289
2020-03-16T00:00:00.000Z,0.95,7.45,3.8,1.88,4.59,1.569,430
2020-03-17T00:00:00.000Z,3.3,9.93,6.24,5.37,6.92,1.123,573
2020-03-18T00:00:00.000Z,6.47,19.05,10.67,8.77,12.59,2.259,516
2020-03-19T00:00:00.000Z,7.96,22.69,15.14,13.25,17.82,3.172,564
2020-03-20T00:00:00.000Z,3.74,22.67,12.86,9.49,18.73,5.162,492
2020-03-21T00:00:00.000Z,2.85,22.64,6.44,4.84,9.77,3.827,502
2020-03-22T00:00:00.000Z,2.6,8.38,5.74,4.37,6.7,1.334,484
2020-03-23T00:00:00.000Z,1.86,6.97,3.47,2.65,5.26,1.34,476
2020-03-24T00:00:00.000Z,2.45,11.63,3.9,3.39,6.04,2.33,480
2020-03-25T00:00:00.000Z,6.05,14.27,10.67,8.15,11.58,1.936,477
2020-03-26T00:00:00.000Z,6.6,14.3,9.3,8.06,11.9,2.075,466
2020-03-27T00:00:00.000Z,10.11,27.65,17.82,12.95,21.5,4.683,418
2020-03-28T00:00:00.000Z,7.76,22.3,10.34,9.69,11.27,2.812,193
2020-03-29T00:00:00.000Z,3.34,27.24,11.64,6.46,22.42,7.498,365
2020-03-30T00:00:00.000Z,4.92,8.06,5.88,5.59,6.18,0.542,145
2020-03-31T00:00:00.000Z,1.57,7.92,4.36,3.31,6.3,1.722,340
2020-04-01T00:00:00.000Z,4.47,14.03,9.72,8.3,10.95,2.141,230
2020-04-02T00:00:00.000Z,6.26,18.14,12.8,10.7,14,2.327,483
2020-04-03T00:00:00.000Z,5.7,19.5,10.42,7.58,13.74,3.198,494
2020-04-04T00:00:00.000Z,5.23,19.23,9.59,7.56,11.18,2.328,540
2020-04-05T00:00:00.000Z,4.67,16.28,9.53,6.44,12.24,3.135,547
2020-04-06T00:00:00.000Z,2.4,8.76,5.85,5.24,6.54,1.117,490
2020-04-07T00:00:00.000Z,3.87,11.16,5.95,5.08,7.86,1.69,446
2020-04-08T00:00:00.000Z,2.52,8.18,4.62,3.85,5.73,1.424,497
2020-04-09T00:00:00.000Z,4.65,13.8,7.65,5.9,8.75,1.641,487
